会社名,ステータス,キャッチコピー
株式会社Be-Groove | #年休125日 #週休2日制 #社員寮あり #賞与2回 #資格支援あり,正社員,未経験OK【進行管理(コーディネータ・事務)】月給26万／土日祝休 正社員
エクスペダイターズ・ジャパン株式会社 | 世界103カ国322拠点を設ける外資系企業◆賞与実績平均7ヶ月分,正社員,【提案営業】グローバル企業で国際貨物輸送を提案！※東京募集 正社員
株式会社進和ホームメンテナンス | 関西電力100％出資会社「かんでんEハウス」のパートナー企業,正社員,業績◎！4月新設の事業部で働く【点検スタッフ】※月給30万円～ 正社員
株式会社広伸ホーム | ＼年々案件数UP／コロナ禍でも業績好調の安定企業！★若手活躍中,正社員,内装・外装の【修繕スタッフ】★資格手当充実★U・Iターン歓迎！ 正社員
阪神センコー運輸株式会社 | ★安定基盤が自慢★東証一部上場企業『センコー』のグループ会社,正社員,【物流系総合職（ドライバー・アシスタント・倉庫管理）】 正社員
株式会社三谷電気 | 《地域密着×安定企業》応募条件に合う方は全員面接します！,正社員,前職給与を考慮◎残業が少ない環境で働く【技術スタッフ】 正社員
株式会社ファスト | 未経験歓迎・完全週休2日制・年間休日125日・各種手当制度あり,正社員,新築マンションのモデルルームで働く【カウンターセールス】 正社員
株式会社日本セイユ― | 残業少なめ／寮完備で即入居OK／日・隔土休み,正社員,～50代の新入社員も活躍中～【反響営業】◎平均月収48万円 正社員
郡司建設株式会社 | ◆賞与平均3.2ヶ月分支給！年収850万円も可能！前職給与を考慮,正社員,資格取得を目指す方も大歓迎！スキルUPを支援！【建築施工管理】 正社員
おぎ堂会計事務所 | 基本定時退社／業界水準以上の高待遇／大阪府緊急雇用対策に賛同,正社員,完全土日祝休み！業界経験・資格不問【税務・会計アシスタント】 正社員
株式会社晃技開発 | 【大阪府緊急雇用対策に賛同】◆高インセンティブ＋昇給随時！◆,正社員,"最大案件規模は1億円！【コンサルタント】年収1,000万円可能 正社員"
株式会社BE START | 軽貨物の宅配や企業配送などを手がける運送会社,業務委託,普免のみでOK！働き方を選べる【配送ドライバー】★週払いも対応 業務委託
株式会社フードバンク | ★種類の豊富なインセンティブあり★業界経験者歓迎★30代活躍中,正社員,スペイン・地中海料理・フレンチビストロ等の【店長候補】 正社員
株式会社キノシタ林業 | ★残業なし★女性も活躍中★立ち上げ期★社員ファーストの会社,正社員,【山林・立木の買取スタッフ】 ★未経験歓迎 ★月25万円以上 正社員
ケミックス東海株式会社 | 金属の塗装剥離で業界トップクラス★福利厚生充実＋多数手当付き,正社員,【現場作業スタッフ】月給33万円スタート＆賞与年3回 正社員
株式会社伸興製作所 | 創業72年／大手企業と取引／社員一人ひとりに合わせた働き方,正社員,大手企業を支える【加工スタッフ】※賞与年3回／長期休暇あり 正社員
ベルトラックス株式会社 | ディーラー経験者など整備経験のある方歓迎！★残業ほぼなし！,正社員,土日休みで高収入！整備経験を活かした【建設機械メンテナンス】 正社員
環協株式会社 | コロナ禍でも成長続ける安定企業 ◆自分次第で高収入を目指せる,正社員,【衛生管理の技術スタッフ】★年休120日以上 ★環境事業で成長中 正社員
株式会社栃木ケイテクノ | 【東証一部上場の関電工グループ】栃木県トップクラスの実績,正社員,【総合職(電気施工管理・電気工事士)】転勤なし／前職給与考慮！ 正社員
ジャパン・アット・レスキュー株式会社 | ◎賞与年3回◎充実の研修制度あり【大阪府緊急雇用対策に賛同】,正社員,月給30万円～【100％反響営業】稼ぎたい方歓迎／入社祝金10万円 正社員
株式会社友建設 | ” 安定経営 × 高収入 × 働きやすさ ” が揃っています！,正社員,【 施工管理 】★月給30万円以上を保証 ★前職給与考慮 正社員
岩崎エアーテック株式会社 | 水と空気を浄化する機械の販売商社 / 月収100万円も可能！,正社員,★30代～50代活躍中【法人営業】インセンで高収入を目指せる！ 正社員
株式会社cosbi | 【大阪府緊急雇用対策に賛同】自社ブランドとOEMを手掛ける企業,正社員,SNSでも人気!ヘアケア商品の【提案営業】未経験でも月給25万円★ 正社員
株式会社かすみ交通 | 2007年設立、地域密着のタクシー会社,正社員,"活躍次第で年収1,000万円も可能【タクシードライバー】※副業OK 正社員"
株式会社エリックス | 《ユニットハウスに携わる安定企業》★残業月10h以下/賞与年2回,正社員,未経験OK★月給27万円以上！稼ぎたいを実現できる【組立・設置】 正社員
ミナミ電工株式会社 | ★家族を大切に！毎年9日間以上の連休休暇など制度を充実中！,正社員,【総合職（工事管理／電気工事士／設備設計）】※月給24万円以上 正社員
新中央航空株式会社 | 《レア求人》創業43年。伊豆諸島の島民のくらしを支える航空会社,正社員,バックオフィスから空港を支える【総務スタッフ】※未経験歓迎！ 正社員
安部文化工業株式会社 | 創業から約70年景気に左右されず、安定成長を続ける優良企業！,正社員,◎未経験でも月給20万円以上！【 技術スタッフ 】転勤ナシ！ 正社員
株式会社アルファ工業 | ■大同特殊鋼グループ指定協力会社,正社員,★入社1年目から高収入を目指せる【生産スタッフ】＊転勤無し＊ 正社員
静岡日産自動車株式会社 | 実務未経験OK！年収600万以上を目指せます！,正社員,【整備士】静岡県内で30店舗展開するNISSAN正規ディーラー 正社員
株式会社プリペアド | 個別指導学院ヒーローズ｜コロナ禍でも生徒数増！2校で100名在籍,正社員,未経験の挑戦も歓迎【 教室運営スタッフ 】★教室長候補 正社員
ＬＸ　ＰＡＮＴＯＳ　ＪＡＰＡＮ株式会社 | （旧社名：パントスジャパン株式会社）≪LXグループ≫,正社員,物流業界経験を活かせる！国際物流の【法人営業】※土日祝休み 正社員
株式会社トレンタ | 有給取得率100％/働き方改革実施中/より良い会社を目指してます,正社員,年間休日124日【設計（建築・意匠）】※土日祝完全休み 正社員
株式会社タクマ | 【東証一部上場】環境保全・エネルギープラントのパイオニア企業,正社員,【プラントエンジニア（電気・計装機械）】年休128日／離職率3％ 正社員
株式会社タクマ | 【東証一部上場】環境保全・エネルギープラントのパイオニア企業,正社員,【プラント機器エンジニア（詳細設計・手配指示等）】離職率3％ 正社員
株式会社タクマ | 【東証一部上場】環境保全・エネルギープラントのパイオニア企業,正社員,九州・兵庫本社募集【プラント施工監理(機械/元請)】年休128日 正社員
株式会社タクマ | 【東証一部上場】環境保全・エネルギープラントのパイオニア企業,正社員,社会インフラに貢献【プラントエンジニア】※兵庫県限定募集 正社員
株式会社タクマ | 【東証一部上場】環境保全・エネルギープラントのパイオニア企業,正社員,東京・北海道・宮城募集【プラント施工監理(機械/元請)】 正社員
株式会社タツミプランニング | 東証一部上場｜高松建設グループ｜5年連続グッドデザイン賞受賞,正社員,インセンティブで高収入も可！【企画提案営業】★年間休日126日 正社員
株式会社幸和ホーム | 1987年創業・アメニティジョイハウスグループの一員　★転勤なし,正社員,西海岸風・自由でデザイン性の高い注文住宅の【建築施工管理】 正社員
株式会社CRUDnop | 車載システム/IoT/各種サーバー構築システムを手掛ける成長企業,正社員,組織作りに携わりながらスキルアップを実現！【ITエンジニア】 正社員
株式会社リクルート北関東マーケティング | （RKM）【リクルートグループ】,正社員,「ホットペッパー」等の【企画営業】 ★未経験者OK/年休145日 正社員
くにうみＡＩ証券株式会社 | ★くにうみアセットマネジメントグループ,正社員,【海外ファンド営業】完全週休2日制（土日祝） 正社員
株式会社総合資格 | 【 建築・不動産に特化した資格学校を運営 】賞与実績4.8ヶ月分,正社員,平均年収894万円！【提案営業】※山口／島根勤務 正社員
株式会社オーム電機 | 60年超の歴史ありで業績も絶好調＊グローバルに事業を展開中！,正社員,月給30万/年休120日/完休2日★海外からの【家電用品のバイヤー】 正社員
株式会社総合資格 | 【 建築・不動産に特化した資格学校を運営 】賞与実績4.8ヶ月分,正社員,平均年収894万円！早期キャリアUPも可能【提案営業】※広島勤務 正社員
株式会社Pledge Clover | #平均26歳#前年比300％UP#UIターンOK#名古屋限定,正社員,★名古屋限定募集★未経験から20代活躍中【企画営業(販促など)】 正社員
株式会社クラシコ | ★面接1回 ★恵比寿駅徒歩2分 ★平均年齢28歳！★転勤ナシ,契約社員,【不動産営業職】貴方の経験を貸してください！☆経験者募集 契約社員
新栄工業株式会社 | 【創業54年】『空調ダクト』製造で大手企業と取引多数の安定企業,正社員,未経験でも月給26万円スタート！残業少なめ【取付スタッフ】 正社員
株式会社アイ工務店 | 《11月23日(火)マイナビ転職フェア川越に出展予定！》,正社員,注文住宅の【反響営業】適正価格が好評！⇒無理なく売りやすい♪ 正社員
株式会社バーンフュージョン | 未経験入社の先輩が数多く活躍中｜国家資格取得費用もサポート♪,契約社員,正社員登用制度有！半導体ウェーハの【品質管理】年間休日180日 契約社員
メットライフ生命保険株式会社 | 【11/13（土）マイナビ転職フェア立川に出展】,正社員,賞与年4回！／年間休日122日以上！【コンサルティング営業】 正社員
東洋梱包運輸株式会社,正社員,年休105日！スキルにあった働き方を選べる！【配送ドライバー】 正社員
福山通運株式会社 | 【東証一部上場】11/27（土）マイナビ転職フェア浜松に出展！,正社員,未経験歓迎【集配ドライバー(2t)】配達ルートほぼ固定 正社員
アイ・インターナショナル株式会社 | 投資物件専門の不動産会社　★年収3000万円も充分可能,業務委託,【不動産営業】☆完全リモートワーク ☆利益の8割があなたの収入 業務委託
日研トータルソーシング株式会社 | 【売上931億円】年休最大160日・11/28転職フェア＠仙台出展,正社員,AI・自動化で注目の【ロボットのサポートエンジニア】＊宮城募集 正社員
株式会社丸松ササキ工業 | ★旭川に根付いて30年 ★毎年受注が増加している堅実な経営,正社員,★普通免許があれば挑戦OK！ ★月給30万円～【土木技術者】 正社員
株式会社丸松ササキ工業 | ★旭川に根付いて30年 ★毎年受注が増加している堅実な経営,正社員,★未経験者が半数以上！ ★月給25万円～【土木作業員】 正社員
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,正社員,月給26.3万円スタート【 営業 】静岡募集＊未経験歓迎＊年齢不問 正社員
株式会社木村土建 | 【創業91年】企業基盤の安定力抜群！応募者は全員面接します！,正社員,★即戦力★ 高収入を目指せる【建築施工管理】※月給40万以上可 正社員
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,正社員,月給26.3万円スタート【 営業 】東京募集＊未経験歓迎＊年齢不問 正社員
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,正社員,月給26.3万円スタート【 営業 】群馬募集＊未経験歓迎＊年齢不問 正社員
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,正社員,月給26.3万円スタート【 営業 】三重募集＊未経験歓迎＊年齢不問 正社員
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,正社員,月給26.3万円スタート【 営業 】千葉募集＊未経験歓迎＊年齢不問 正社員
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,正社員,月給26.3万円スタート【 営業 】茨城募集＊未経験歓迎＊年齢不問 正社員
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,正社員,月給26.3万円スタート【 営業 】大阪募集＊未経験歓迎＊年齢不問 正社員
東建コーポレーション株式会社 | エリア勤務でも高収入、地元で安心できる生活を手に入れよう！,正社員,＼年休127日／【 営業 】中日本エリア募集＊未経験＊年齢不問 正社員
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,正社員,月給26.3万円スタート【 営業 】兵庫募集＊未経験歓迎＊年齢不問 正社員
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,正社員,月給26.3万円スタート【 営業 】京都募集＊未経験歓迎＊年齢不問 正社員
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,正社員,月給26.3万円スタート【 営業 】広島募集＊未経験歓迎＊年齢不問 正社員
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,正社員,月給26.3万円スタート【 営業 】岐阜募集＊未経験歓迎＊年齢不問 正社員
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,正社員,月給26.3万円スタート【 営業 】埼玉募集＊未経験歓迎＊年齢不問 正社員
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,正社員,月給26.3万円スタート【 営業 】石川募集＊未経験歓迎＊年齢不問 正社員
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,正社員,月給26.3万円スタート【 営業 】長野募集＊未経験歓迎＊年齢不問 正社員
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,正社員,月給26.3万円スタート【 営業 】福岡募集＊未経験歓迎＊年齢不問 正社員
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,正社員,月給26.3万円スタート【 営業 】愛知募集＊未経験歓迎＊年齢不問 正社員
東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,正社員,月給26.3万円スタート【営業】神奈川募集＊未経験歓迎＊年齢不問 正社員
株式会社SAN NEXAS DUO | マイナビ転職フェア@名古屋に出展！11月20日ウインクあいち開催,正社員,【営業】立ち上げメンバーの募集です！★残業＆休日出勤なし◎ 正社員
株式会社ア・ビュー | 〈 対象者全員面接 〉少しでも興味あれば応募してください♪,正社員,★新卒・第二新卒の歓迎募集★【介護スタッフ】★東京都限定募集 正社員
生和コーポレーション株式会社 | 【大阪府緊急雇用対策に賛同】入社2年目で年収1000万円の社員も,正社員,未経験から不動産業界にチャレンジできる【提案営業】※転勤なし 正社員
信陽機材リース販売株式会社 | 東証1部上場・株式会社ワキタのグループ企業,正社員,未経験でも月給23万円以上でスタート【足場の組立解体スタッフ】 正社員
株式会社近畿道路資材 | ◎WEB面接可◎―イノベーションで地球を守る―総合環境整備企業,正社員,【経理】経理×高収入│残業月20時間程度！IT積極導入！ 正社員
株式会社へいせい | 【創業74年！スローライフタウンを創る総合建設会社】※転勤なし,正社員,歴史ある安定基盤で活躍【住宅コンシェルジュ】★賞与年5.5ヶ月 正社員
朝日ハウジング株式会社 | インセンティブあり！ノルマは無いですが頑張りは還元します！,正社員,宅建の資格のみあれば実務未経験OK！不動産の【営業スタッフ】 正社員
株式会社當木工事 | ◆創業50年の老舗企業◆高収入・厚い待遇をご用意しています！,正社員,業績好調！大規模案件多数【設備施工管理(空調設備・衛生設備)】 正社員
株式会社エコライフ | 完全週休2日制 ◎1回の賞与で450万円獲得する社員も！,正社員,未経験OK！研修充実で安心Start◆100％反響型の【不動産営業】 正社員
ひかりハウジング株式会社 | 【東農地区トップクラスのハウスメーカー】◆インセンティブ豊富,正社員,完全自由設計の【住宅営業】★経験者歓迎　★店長候補 正社員
